Fold_date,Total_points,Total_Folders
15-Aug-2025 12 UTC,5328.24,852
15-Aug-2025 00 UTC,4685.52,663
14-Aug-2025 12 UTC,4228.58,528
14-Aug-2025 00 UTC,3991.87,449
13-Aug-2025 12 UTC,3915.28,462
13-Aug-2025 00 UTC,4141.43,463
12-Aug-2025 12 UTC,4023.34,461
12-Aug-2025 00 UTC,4334.45,520
11-Aug-2025 12 UTC,4367.12,496
11-Aug-2025 00 UTC,4359.2,489
10-Aug-2025 12 UTC,4400.5,505
10-Aug-2025 00 UTC,4440.97,509
09-Aug-2025 12 UTC,4367.55,495
09-Aug-2025 00 UTC,4404.28,508
08-Aug-2025 12 UTC,4278.85,515
08-Aug-2025 00 UTC,4234.13,513
07-Aug-2025 12 UTC,4314.48,528
07-Aug-2025 00 UTC,4204.91,516
06-Aug-2025 12 UTC,4234.88,520
06-Aug-2025 00 UTC,4333.75,517
05-Aug-2025 12 UTC,4171.6,509
05-Aug-2025 00 UTC,4278.47,521
04-Aug-2025 12 UTC,4318.58,514
04-Aug-2025 00 UTC,4302.07,495
03-Aug-2025 12 UTC,4273.43,502
03-Aug-2025 00 UTC,4194.14,504
02-Aug-2025 00 UTC,4306.86,507
01-Aug-2025 12 UTC,4149.83,510
01-Aug-2025 00 UTC,4082.36,500
31-Jul-2025 12 UTC,4021.45,501
31-Jul-2025 00 UTC,4229.43,516
30-Jul-2025 12 UTC,4149.43,513
30-Jul-2025 00 UTC,4175.4,517
29-Jul-2025 12 UTC,4156.02,501
29-Jul-2025 00 UTC,4020.69,498
28-Jul-2025 12 UTC,4100.15,500
28-Jul-2025 00 UTC,4304.69,488
27-Jul-2025 12 UTC,4350.56,493
27-Jul-2025 00 UTC,4175.22,482
26-Jul-2025 12 UTC,4201.34,484
26-Jul-2025 00 UTC,4472.79,534
25-Jul-2025 12 UTC,4244.85,502
25-Jul-2025 00 UTC,4358.23,508
24-Jul-2025 12 UTC,4131.23,504
24-Jul-2025 00 UTC,4247.49,508
23-Jul-2025 12 UTC,4002.1,496
23-Jul-2025 00 UTC,4280.98,510
22-Jul-2025 12 UTC,4134.04,505
22-Jul-2025 00 UTC,4122.24,510
21-Jul-2025 00 UTC,4004.25,478
20-Jul-2025 12 UTC,4127.91,488
20-Jul-2025 00 UTC,4096.08,483
19-Jul-2025 12 UTC,4176.67,501
19-Jul-2025 00 UTC,4242.5,507
18-Jul-2025 12 UTC,4180.73,525
18-Jul-2025 00 UTC,3945.92,492
17-Jul-2025 12 UTC,4043.79,528
17-Jul-2025 00 UTC,4154.63,528
16-Jul-2025 12 UTC,4172.22,521
16-Jul-2025 00 UTC,4173.97,525
15-Jul-2025 12 UTC,4261.64,516
15-Jul-2025 00 UTC,4216.5,533
14-Jul-2025 12 UTC,4026.41,486
14-Jul-2025 00 UTC,8504.88,695
13-Jul-2025 12 UTC,0,0
13-Jul-2025 00 UTC,0,0
12-Jul-2025 12 UTC,0,0
12-Jul-2025 00 UTC,0,0
