username,payout,points,total_payout,total_points,total_wus,created_at
1wgaca6oyk1f,4.59,4807,3062.87,9126828,636,2021-03-19T00:09:53.675Z
1vwydq5eat6j,43.35,478524,12244.95,77239263,284,2021-03-15T04:08:02.416Z
1snal7u081vv,37.26,371220,65.75,470958,11,2022-04-09T01:23:59.235Z
1v3xt32u73iq,44.02,491875,3895.66,40593384,129,2022-01-28T04:13:41.1000Z
1uciqj5ykke0,35.85,348725,9570.7,143766562,617,2021-04-14T17:52:53.578Z
1vtc5aky17oe,13.67,92431,2115.9,8226518,415,2021-03-31T23:53:42.3Z
1tig2n9m246b,20.77,157861,5710.07,43720609,1241,2021-07-01T16:40:53.603Z
1rl5dkxbvps8,10.94,71270,5554.71,39503075,1089,2021-07-18T21:16:10.333Z
1q37b6oum48r,89.67,2325230,3419.7,63859132,259,2021-05-21T11:35:01.705Z
1v4lblwdc7jo,22.17,556375,10262.31,216560389,1052,2021-04-19T00:17:33.398Z
1u4oaxa3zdgu,30.37,141451,41603.94,89179930,992,2020-01-04T11:08:22.150Z
1qd7751blxgz,6.94,42443,2679.99,18289128,797,2021-07-28T02:10:57.77Z
1p1il5c3eduh,50.38,627940,1569.25,19401332,95,2022-03-29T10:57:50.111Z
1o9fu50tmfyx,2.92,16800,8.22,33349,4,2022-04-06T13:45:36.548Z
1o45ggiz62ay,27.23,229597,6470.16,75447756,849,2021-05-10T14:11:47.61Z
1mweog6gwghu,1.78,11631,7176.85,8702913,1543,2020-05-02T13:26:35.492Z
1n7t8823hjtd,32.39,695108,262895.47,745907616,97126,2019-09-21T14:54:27.194Z
1mt4339syaz9,2.68,12199,2875.68,12449309,475,2021-05-13T13:07:04.997Z
